id_recurso,id_projeto,descricao,tipo_recurso,quantidade_utilizada,data_utilizacao
1,1,Servidores para hospedagem,material,3,2024-01-18
2,2,Equipe de desenvolvedores,humano,5,2024-03-15
3,3,Banco de dados em nuvem,financeiro,2000,2024-02-20
4,4,Ferramentas de RH,material,10,2024-05-10
5,5,Licenças de software ERP,financeiro,15000,2023-09-20
6,6,Analistas financeiros,humano,2,2024-01-22
7,7,Plataforma de e-mail marketing,material,1,2024-06-12
8,8,Serviços de integração de sistemas,financeiro,18000,2023-11-10
9,9,Estantes e racks de estoque,material,15,2023-10-30
10,10,Sistema de chatbot para atendimento,material,1,2024-04-05
