id_projeto,id_funcionario,nome,descricao,data_inicio,data_conclusao,custo_projeto,status
1,1,Sistema de Gestão,Desenvolvimento de um sistema para gestão empresarial,2024-01-15,2024-07-30,50000,Concluído
2,2,Portal Web,Criação de um portal web para atendimento ao cliente,2024-03-01,,25000,Em Execução
3,3,App Mobile,Aplicativo para dispositivos móveis para e-commerce,2024-02-10,2024-10-20,80000,Concluído
4,4,Sistema de RH,Desenvolvimento de sistema para automação de processos de RH,2024-05-05,,60000,Em Planejamento
5,5,ERP Integrado,Implantação de ERP para integração de setores,2023-09-12,,150000,Em Execução
6,6,Sistema Financeiro,Ferramenta para gestão de contas e relatórios financeiros,2024-01-20,2024-08-30,70000,Concluído
7,7,Automação de Marketing,Automação para campanhas e análises de marketing,2024-06-10,,30000,Em Planejamento
8,8,Integração de Banco de Dados,Integração entre sistemas usando um banco de dados centralizado,2023-11-05,,120000,Em Execução
9,9,Gestão de Estoque,Sistema de controle e automação de estoque e logística,2023-10-25,2024-04-10,45000,Concluído
10,10,Portal de Atendimento,Portal de autoatendimento para clientes,2024-04-01,2024-09-30,55000,Concluído
